repo,pr_ID,suggestion,bassist_comment,comment_text,comment_code,action,response_time,url
b'PyGithub/PyGithub',2660,True,False,b' - CODE - ',"b'def payload(self) -> Dict[str, Any]:'",Ignored/Rejected,No Reaction,https://github.com/PyGithub/PyGithub/pull/2660#discussion_r1269819892
b'PyGithub/PyGithub',2660,False,False,"b'no, `from __future__ import annotations`'",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2660#discussion_r1269828415
b'PyGithub/PyGithub',2658,False,False,"b""Why is this moved? let's keep the dif minimal for easier review...""",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2658#discussion_r1269819192
b'PyGithub/PyGithub',2658,False,False,b'EnricoMi think this is better',No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2658#discussion_r1269829679
b'PyGithub/PyGithub',2655,False,False,"b""`TypeGuard` can't narrow type in negative case, so we have to use `not is_defined(files)` or `isinstance(files, _NotSetType)`, and I think the latter is better""",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2655#discussion_r1267125883
b'PyGithub/PyGithub',2638,True,False,"b'this is annoying...can we have - CODE - and `StatsCodeFrequency` only implements `useTupleAttributes`?and in `_storeAndUseAttributes`:    def _storeAndUseAttributes(self, headers: Dict[str, Union[str, int]], attributes: Any) -> None:        # Make sure headers are assigned before calling _useAttributes        # (Some derived classes will use headers in _useAttributes)        self._headers = headers        self._rawData = attributes        if isinstance(attributes, Dict):            self._useAttributes(attributes)        elif isinstance(attributes, tuple):            self._useTupleAttributes(attributes)        elif:            raise ValueError()Ideally, we would have this type checking in `_useAttributes` and have `_useDictAttributes`, but this would touch almost any file.'","b'def _useAttributes(self, attributes: Dict[str, Any]) -> None:\n        raise NotImplementedError(""dict attributes not supported by this class"")\n\n    def _useTupleAttributes(self, attributes: Tuple[Any, ...]) -> None:\n        raise NotImplementedError(""tuple attributes not supported by this class"")\n```'",Ignored/Rejected,No Reaction,https://github.com/PyGithub/PyGithub/pull/2638#discussion_r1266526363
b'PyGithub/PyGithub',2638,False,False,"b""This looks like a good idea but doesn't rename `_useAttributes` to `_useDictAttributes` may be misleading""",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2638#discussion_r1266547558
b'PyGithub/PyGithub',2638,False,False,"b""after second thought, I don't think `_useTupleAttributes` is a good idea, this \r\nadded additional complexity. using `_useAttributes` is easy to understand and easy to impl.""",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2638#discussion_r1266563171
b'PyGithub/PyGithub',2638,False,False,"b'But `_useAttributes(Any)` is pretty brutal. Any other suggestions to avoid `Any`? The implementing classes should be specific about their `attributes` parameter.\r\n\r\nCan they define it as eihter `Dict[str, Any]` or `Tuple[Any, ...]`?'",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2638#discussion_r1266881823
b'PyGithub/PyGithub',2638,False,False,"b""I don't think it's a problem, only impl class know what type the value is.""",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2638#discussion_r1266900390
b'PyGithub/PyGithub',2630,False,False,b'please use `NotSet` as default value',No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2630#discussion_r1264338702
b'PyGithub/PyGithub',2626,False,False,"b""I'd prefer to create an `Enterprise` class that wraps the `/enterprise/{enterprise}` path prefix. That class can provide all endpoints that start with this prefix.\r\n\r\nThen, `MainClass` would have only `get_enterprise(enterprise: str) -> Enterprise`.\r\n\r\nReturned `Enterprise` instance then has `get_consumed_licenses() -> EnterpriseConsumedLicenses`.""",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2626#discussion_r1263567601
b'PyGithub/PyGithub',2626,False,False,"b'Please embed typing of new files in the `py` file. For examples, see https://github.com/PyGithub/PyGithub/commit/8bdfc3a0d7fc7391ff34e60e20a6987433025417'",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2626#discussion_r1263572368
b'PyGithub/PyGithub',2626,False,False,"b'Thank you for your quick feedback! Sure, I agree with that, will check and update it. '",No Code,-,No Reaction,https://github.com/PyGithub/PyGithub/pull/2626#discussion_r1263669754
